,Brand,Price,Rating,Modelname,Auto,Load,Energyrating,WashingcapacityInKg,Washingmethod,MaximumspinspeedInRPM,In-builtheater,Color,Shade,Waterlevelselector
27,LG,15990.0,4.5,P1045SGAZ,Semi,Top,5.0,10.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
28,IFB,23199.0,4.3,Diva Aqua SX,Fully,Front,5.0,6.0,Tumble Wash,800,Yes,Silver,Silver,No
29,SAMSUNG,16490.0,4.4,WA70A4002GS/TL,Fully,Top,4.975,7.0,Pulsator,680,No,Silver,Imperial Silver,No
30,BOSCH,27990.0,4.4,WAJ2006EIN,Fully,Front,5.0,7.0,Tumble,1000,Yes,White,White,No
31,LG,13490.0,4.5,P8030SRAZ,Semi,Top,5.0,8.0,Pulsator,800,No,"White, Maroon",Burgundy,No
32,Whirlpool,16785.0,4.3,Whitemagic Elite Plus 6.5 Grey 10YMW,Fully,Top,5.0,6.5,Agipellar,740,Yes,Grey,Grey,No
33,MarQ By Flipkart,7390.0,4.3,MQSA65H5B,Semi,Top,5.0,6.5,Pulsator,1350,No,"White, Blue","White, Blue",Yes
34,Whirlpool,14240.0,4.3,WM ROYAL 6.5 GENX SATIN GREY 5YMW,Fully,Top,5.0,6.5,Agipeller,740,No,Grey,Satin Grey,No
35,LG,63990.0,4.1,THD18STB,Fully,Top,4.975,18.0,Pulsator,780,Yes,Black,Black Stainless silver,Yes
36,Whirlpool,15890.0,4.5,ACE XL10.5 Graphite Grey (5YR),Semi,Top,5.0,10.5,3D Turbo Impeller Wash,1400,No,Grey,Graphite Grey,No
37,ONIDA,4969.0,4.3,Liliput,Washer,,4.975,6.5,Normal Pulsator Wash,780,No,Red,Lava Red,No
38,Whirlpool,17290.0,4.3,WHITEMAGIC ELITE 7.5 GREY 10YMW,Fully,Top,5.0,7.5,Agipellar Wash,740,No,Grey,Grey,Yes
39,LG,15490.0,4.5,P9040RGAZ,Semi,Top,5.0,9.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
40,LG,9990.0,4.4,P6510NBAY,Semi,Top,4.0,6.5,Pulsator,1350,No,"White, Blue",Dark Blue,No
41,MarQ By Flipkart,8490.0,4.3,MQSA75H5M,Semi,Top,5.0,7.5,Pulsator,1400,No,"White, Maroon","White, Maroon",Yes
42,LG,26990.0,4.4,FHM1065ZDL.ALSQEIL,Fully,Front,5.0,6.5,Tumble,1000,Yes,Silver,Silver,Yes
43,LG,41990.0,4.5,FHT1409ZWL,Fully,Front,5.0,9.0,Tumble,1400,Yes,Silver,Silver,No
44,Whirlpool,15740.0,4.3,WM ROYAL PLUS 7.0 GREY 5YMW,Fully,Top,5.0,7.0,Agipellar,740,No,Grey,Grey,Yes
45,Haier,12990.0,4.3,HWM65-FE,Fully,Top,5.0,6.5,Pulsator,800,No,"Brown, Grey",Grey,Yes
46,Whirlpool,19990.0,4.2,SW Ultra 7.5 (SC) Grey 10YMW,Fully,Top,5.0,7.5,Agipeller,740,Yes,Grey,Grey,No
47,BOSCH,16490.0,4.4,WOE654Y1IN,Fully,Top,5.0,6.5,Pulsator,680,No,Grey,Grey,No
48,MarQ By Flipkart,19990.0,4.2,MQFL70D5S,Fully,Front,5.0,7.0,Tumble Wash,1400,Yes,Silver,Silver,Yes
49,Sansui,9790.0,4.2,JSP90S-2022L,Semi,Top,5.0,9.0,Pulsator,1350,No,"White, Maroon","White, Burgundy",No
50,MarQ By Flipkart,14490.0,4.3,MQFA80J5LG,Fully,Top,5.0,8.0,Pulsator,700,No,Grey,Light Grey,No
51,LG,10990.0,4.4,P7010RRAA,Semi,Top,4.975,7.0,Pulsator,1350,No,"Maroon, White",Burgundy,Yes
52,SAMSUNG,23490.0,4.4,WW60R20GLSS/TL,Fully,Front,5.0,6.0,Pulsator,1000,Yes,Silver,DA Silver,No
53,Whirlpool,13740.0,4.4,ACE 8.0 TRB DRY GREY DAZZLE (5YR),Semi,Top,5.0,8.0,Impeller,1400,No,Grey,Grey dazzle,No
54,BOSCH,31490.0,4.4,WAJ2426AIN,Fully,Front,5.0,8.0,Tumble,1200,Yes,White,White,No
55,LG,29990.0,4.4,FHM1207ADL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
